X,Y,cluster
47.9606637069887,62.14880669307913,C
21.66520795556582,36.35611726448748,A
47.2867180201799,66.18950665535465,C
78.74944199306037,30.592089677728154,B
47.16498934931112,66.74442595797066,C
23.763462445214987,39.19553129930229,A
48.523730111913295,69.58439416502273,C
77.40495857869418,38.941390833949384,B
74.33869868490957,37.60374868184107,B
44.40383172116901,63.68133383394755,C
51.53837515830401,64.54823183729995,C
74.49764573428594,35.77649472631443,B
26.19809360239525,37.973429363384646,A
51.11460012712253,68.88142435937407,C
75.04974120906789,31.28770062059889,B
48.206442188072515,67.72830869086343,C
72.0151706373587,40.71922765951398,B
72.44131909949141,32.34067471271778,B
28.6038078807115,35.06778084978147,A
29.141454955020983,34.41218891373333,A
49.334406147152144,66.5150130368127,C
49.883917852985384,60.76577752488408,C
80.14414109858375,31.669882560111,B
48.567524178569464,65.62919025496811,C
54.87696329661792,63.37065951543665,C
72.58655526474307,32.71395458290934,B
76.00155812314843,29.385759562098112,B
79.16648499456072,33.71157575526887,B
20.77467551837607,37.35348049774049,A
51.06970129029231,63.25519570087749,C
74.25799213577886,35.17874942606012,B
77.071416294726,30.844208906786555,B
50.28559959053861,70.46212582531871,C
51.47192346213079,61.063230091480484,C
22.749934285863688,34.46321316381746,A
51.02526412205024,66.54302094071124,C
28.201147749617032,38.47251839988175,A
72.94880564161548,31.965212644153723,B
47.0480881300699,64.35546516092259,C
48.97628222907367,65.04033190578922,C
21.625050650785138,29.324775327087664,A
23.221094450384243,37.52188553397399,A
72.85752614809465,37.81207225124493,B
50.49530745909663,63.91468121477735,C
51.51069012366723,62.950467460059926,C
45.325300392326206,59.18263581339637,C
82.68214487935012,32.31599878507545,B
26.71472962211869,37.31834815445946,A
73.73674525107239,36.10621120283415,B
21.32650381255339,35.92395423603745,A
24.728065816872505,34.19625263229451,A
49.354777593946366,67.47570693152024,C
70.72539414732915,33.51889863291626,B
21.732262270576335,34.897330513028045,A
54.9510155919515,62.050834768763806,C
25.230211500626737,38.671834379657284,A
52.69107873591239,62.968800523536345,C
29.456837731194693,30.79556304163624,A
23.611566468580108,32.51176389899005,A
24.94324151204244,28.16935247812481,A
78.08856582834895,39.02079996364921,B
25.786476537509728,32.275439319596245,A
72.61939814864044,37.03497090318057,B
73.83771603540296,30.362605969980038,B
49.93472153410813,61.4475252382108,C
71.41276437919653,40.12997817390437,B
75.45201067949822,38.53500362149224,B
75.37299717802742,40.20909612766623,B
26.51596778584983,39.55951917224055,A
50.78017138405066,64.52698149584666,C
27.660961623351024,39.61465953338669,A
23.835116965681653,33.72683668640021,A
25.292516779427007,37.54616633662407,A
25.22589939932532,37.94493046126571,A
78.35330227264734,33.057588724019695,B
25.582474304909756,29.864043744678654,A
51.929808549687344,61.13703153342423,C
76.45849890992419,33.049340160147146,B
50.16059105579681,65.21280401313287,C
73.73427597344424,38.440840217772234,B
24.48143027336559,39.35809230081327,A
53.5110071201189,66.25551948603929,C
74.66225813479608,37.85414784941495,B
23.713728467274994,36.53951491559306,A
73.34834750207159,34.01572511371524,B
51.48701881520526,66.09201235126385,C
24.329797773420136,38.66169266082662,A
25.73793953000492,32.647644679513746,A
24.541582923243627,34.092082385676534,A
79.7975998599382,38.28970682706473,B
