1	{Adventure,Animation,Children,Comedy,Fantasy}
2	{Adventure,Children,Fantasy}
3	{Comedy,Romance}
4	{Comedy,Drama,Romance}
5	{Comedy}
6	{Action,Crime,Thriller}
7	{Comedy,Romance}
8	{Adventure,Children}
9	{Action}
10	{Action,Adventure,Thriller}
11	{Comedy,Drama,Romance}
12	{Comedy,Horror}
13	{Animation,Children}
14	{Drama}
15	{Action,Adventure,Romance}
16	{Crime,Drama}
17	{Comedy,Drama,Romance}
18	{Comedy,Drama,Thriller}
19	{Comedy}
20	{Action,Comedy,Crime,Drama,Thriller}
21	{Action,Comedy,Drama}
22	{Crime,Drama,Horror,Mystery,Thriller}
23	{Action,Crime,Thriller}
24	{Drama,Sci-Fi}
25	{Drama,Romance}
26	{Drama}
27	{Drama}
28	{Drama,Romance}
29	{Adventure,Drama,Fantasy,Mystery,Sci-Fi}
30	{Crime,Drama}
31	{Drama}
32	{Sci-Fi,Thriller}
33	{Adventure,IMAX,Romance}
34	{Children,Comedy,Drama,Fantasy}
35	{Drama,Romance}
36	{Crime,Drama}
37	{Documentary,IMAX}
38	{Comedy}
39	{Comedy,Romance}
40	{Drama}
41	{Drama,War}
42	{Action,Crime,Drama}
43	{Drama}
44	{Action,Adventure,Fantasy}
45	{Comedy,Drama,Thriller}
46	{Drama,Romance}
47	{Crime,Horror,Mystery,Thriller}
48	{Animation,Children,Musical,Romance}
49	{Drama,Romance}
50	{Crime,Mystery,Thriller}
51	{Action,Drama,Thriller}
52	{Comedy,Drama,Romance}
53	{Adventure,Drama}
54	{Children,Comedy}
55	{Drama}
56	{Adventure,Children,Fantasy}
57	{Drama}
58	{Comedy,Drama,Romance}
59	{Drama,Mystery}
60	{Adventure,Children,Fantasy}
61	{Drama,Thriller}
62	{Drama}
63	{Comedy,Crime}
64	{Comedy,Romance}
65	{Comedy}
66	{Action,Sci-Fi,Thriller}
67	{Drama}
68	{Comedy,Romance}
69	{Comedy}
70	{Action,Comedy,Horror,Thriller}
71	{Action}
72	{Comedy,Drama}
73	{Drama,War}
74	{Drama,Romance}
75	{Comedy,Drama}
76	{Action,Sci-Fi,Thriller}
77	{Documentary}
78	{Drama}
79	{Drama,Thriller}
80	{Children,Drama}
81	{Crime,Drama,Romance}
82	{Comedy,Drama}
83	{Drama}
84	{Comedy,Drama}
85	{Drama,Romance}
86	{Adventure,Drama}
87	{Children,Comedy}
88	{Comedy}
89	{Action,Thriller}
90	{Drama}
92	{Drama,Horror,Thriller}
93	{Comedy,Romance}
94	{Comedy,Drama,Romance}
95	{Action,Adventure,Thriller}
96	{Comedy,Drama}
97	{Drama}
98	{Action,Thriller}
99	{Documentary}
100	{Drama,Thriller}
101	{Adventure,Comedy,Crime,Romance}
102	{Comedy}
103	{Mystery,Sci-Fi,Thriller}
104	{Comedy}
105	{Drama,Romance}
106	{Comedy,Drama}
326	{Drama}
107	{Adventure,Children,Comedy,Musical}
108	{Documentary}
109	{Comedy}
110	{Action,Drama,War}
111	{Crime,Drama,Thriller}
112	{Action,Adventure,Comedy,Crime}
113	{Drama,Mystery}
114	{Drama}
115	{Comedy}
116	{Documentary}
117	{Crime,Drama}
118	{Comedy,Romance}
119	{Comedy}
120	{Drama}
