Economy,Region,Country,GDP_2010,country,Country code,Pop_2010,Location_trimmed,Location,numeric code,LE_2010
Afghanistan,South Asia,Afghanistan,15936784436.1811,Afghanistan,4.0,27962.207,Afghanistan, Afghanistan,4.0,59.82
Albania,Europe & Central Asia,Albania,11858166294.8409,Albania,8.0,2901.883,Albania,         Albania,8.0,77.49
Algeria,Middle East & North Africa,Algeria,161207304960.455,Algeria,12.0,36036.159,Algeria,         Algeria,12.0,74.42
American Samoa,East Asia & Pacific,American Samoa,..,American Samoa,16.0,55.636,,,,
Andorra,Europe & Central Asia,Andorra,..,Andorra,20.0,84.419,,,,
Angola,Sub-Saharan Africa,Angola,82470894868.33371,Angola,24.0,21219.954,Angola,         Angola,24.0,51.68
Antigua and Barbuda,Latin America & Caribbean,Antigua and Barbuda,1161528615.92593,Antigua and Barbuda,28.0,87.233,Antigua and Barbuda,         Antigua and Barbuda,28.0,75.82
Argentina,Latin America & Caribbean,Argentina,368736062143.669,Argentina,32.0,41222.875,Argentina,         Argentina,32.0,76.01
Armenia,Europe & Central Asia,Armenia,9260297329.12273,Armenia,51.0,2963.496,Armenia,         Armenia,51.0,74.56
Aruba,Latin America & Caribbean,Aruba,2467703910.61453,Aruba,533.0,101.597,Aruba,         Aruba,533.0,75.39
Australia,East Asia & Pacific,Australia,1141793593834.25,Australia,36.0,22162.863,Australia,         Australia,36.0,82.1
Austria,Europe & Central Asia,Austria,375217439473.684,Austria,40.0,8391.986,Austria,         Austria,40.0,81.09
Azerbaijan,Europe & Central Asia,Azerbaijan,52905998878.71429,Azerbaijan,31.0,9099.893,Azerbaijan,         Azerbaijan,31.0,70.62
"Bahamas, The",Latin America & Caribbean,,,,,,,,,
Bolivia,Latin America & Caribbean,,,,,,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,,,,,,,,,
"Congo, Rep.",Sub-Saharan Africa,,,,,,,,,
"Egypt, Arab Rep.",Middle East & North Africa,,,,,,,,,
"Gambia, The",Sub-Saharan Africa,,,,,,,,,
"Hong Kong SAR, China",East Asia & Pacific,,,,,,,,,
"Iran, Islamic Rep.",Middle East & North Africa,,,,,,,,,
"Korea, Dem. Rep.",East Asia & Pacific,,,,,,,,,
"Korea, Rep.",East Asia & Pacific,,,,,,,,,
Kosovo,Europe & Central Asia,,,,,,,,,
Kyrgyz Republic,Europe & Central Asia,,,,,,,,,
Lao PDR,East Asia & Pacific,,,,,,,,,
"Macao SAR, China",East Asia & Pacific,,,,,,,,,
"Macedonia, FYR",Europe & Central Asia,,,,,,,,,
"Micronesia, Fed. Sts.",East Asia & Pacific,,,,,,,,,
Moldova,Europe & Central Asia,,,,,,,,,
S?o Tom? and Principe,Sub-Saharan Africa,,,,,,,,,
Slovak Republic,Europe & Central Asia,,,,,,,,,
St. Kitts and Nevis,Latin America & Caribbean,,,,,,,,,
St. Lucia,Latin America & Caribbean,,,,,,,,,
St. Martin (French part),Latin America & Caribbean,,,,,,,,,
St. Vincent and the Grenadines,Latin America & Caribbean,,,,,,,,,
"Taiwan, China",East Asia & Pacific,,,,,,,,,
Tanzania,Sub-Saharan Africa,,,,,,,,,
United Kingdom,Europe & Central Asia,,,,,,,,,
United States,North America,,,,,,,,,
"Venezuela, RB",Latin America & Caribbean,,,,,,,,,
Vietnam,East Asia & Pacific,,,,,,,,,
Virgin Islands (U.S.),Latin America & Caribbean,,,,,,,,,
West Bank and Gaza,Middle East & North Africa,,,,,,,,,
"Yemen, Rep.",Middle East & North Africa,,,,,,,,,
Bahrain,Middle East & North Africa,Bahrain,25713571420.9726,Bahrain,48.0,1261.319,Bahrain,         Bahrain,48.0,76.38
Bangladesh,South Asia,Bangladesh,100357022443.833,Bangladesh,50.0,151616.777,Bangladesh,            Bangladesh,50.0,71.01
Barbados,Latin America & Caribbean,Barbados,4433700000,Barbados,52.0,279.566,Barbados,         Barbados,52.0,75.37
Belarus,Europe & Central Asia,Belarus,55220932613.958,Belarus,112.0,9492.122,Belarus,         Belarus,112.0,71.08
Belgium,Europe & Central Asia,Belgium,468078947368.421,Belgium,56.0,10929.978,Belgium,         Belgium,56.0,80.53
Belize,Latin America & Caribbean,Belize,1397900000,Belize,84.0,321.609,Belize,         Belize,84.0,69.76
Benin,Sub-Saharan Africa,Benin,6558416322.12,Benin,204.0,9509.798,Benin,         Benin,204.0,59.2
Bermuda,North America,Bermuda,5744414000,Bermuda,60.0,63.954,,,,
Bhutan,South Asia,Bhutan,1585319109.1083,Bhutan,64.0,720.246,Bhutan,            Bhutan,64.0,68.88
Bosnia and Herzegovina,Europe & Central Asia,Bosnia and Herzegovina,16775469777.6516,Bosnia and Herzegovina,70.0,3835.258,Bosnia and Herzegovina,         Bosnia and Herzegovina,70.0,76.26
Botswana,Sub-Saharan Africa,Botswana,13746712705.5936,Botswana,72.0,2047.831,Botswana,         Botswana,72.0,64.12
Brazil,Latin America & Caribbean,Brazil,2143035333258.24,Brazil,76.0,198614.208,Brazil,         Brazil,76.0,74.05
Brunei Darussalam,East Asia & Pacific,Brunei Darussalam,12369708858.9029,Brunei Darussalam,96.0,393.302,Brunei Darussalam,         Brunei Darussalam,96.0,78.44
Bulgaria,Europe & Central Asia,Bulgaria,47727325908.633,Bulgaria,100.0,7407.297,Bulgaria,         Bulgaria,100.0,74.04
Burkina Faso,Sub-Saharan Africa,Burkina Faso,9209288383.08711,Burkina Faso,854.0,15632.066,Burkina Faso,         Burkina Faso,854.0,58.07
Burundi,Sub-Saharan Africa,Burundi,2026864414.46871,Burundi,108.0,9461.117,Burundi,         Burundi,108.0,56.07
Cabo Verde,Sub-Saharan Africa,Cabo Verde,1664310632.03162,Cabo Verde,132.0,490.379,Cabo Verde,         Cabo Verde,132.0,72.97
Cambodia,East Asia & Pacific,Cambodia,11242266333.9246,Cambodia,116.0,14363.586,Cambodia,         Cambodia,116.0,67.61
Cameroon,Sub-Saharan Africa,Cameroon,22493301699.3672,Cameroon,120.0,20590.666,Cameroon,         Cameroon,120.0,54.87
Canada,North America,Canada,1577040082217.76,Canada,124.0,34126.173,Canada,      Canada,124.0,81.78
Cayman Islands,Latin America & Caribbean,Cayman Islands,..,Cayman Islands,136.0,55.509,,,,
Central African Republic,Sub-Saharan Africa,Central African Republic,1986014759.19785,Central African Republic,140.0,4444.973,Central African Republic,         Central African Republic,140.0,49.53
Chad,Sub-Saharan Africa,Chad,10657705072.3284,Chad,148.0,11896.38,Chad,         Chad,148.0,51.13
Channel Islands,Europe & Central Asia,Channel Islands,..,Channel Islands,830.0,159.583,Channel Islands,         Channel Islands,830.0,80.45
Chile,Latin America & Caribbean,Chile,217556229881.153,Chile,152.0,17015.048,Chile,         Chile,152.0,81.21
China,East Asia & Pacific,China,5930529470799.17,China,156.0,1340968.737,China,         China,156.0,75.43
Colombia,Latin America & Caribbean,Colombia,287000940839.272,Colombia,170.0,45918.101,Colombia,         Colombia,170.0,73.75
Comoros,Sub-Saharan Africa,Comoros,543376206.06227,Comoros,174.0,698.695,Comoros,         Comoros,174.0,62.83
Costa Rica,Latin America & Caribbean,Costa Rica,36298327620.413,Costa Rica,188.0,4545.273,Costa Rica,         Costa Rica,188.0,79.16
C?te d'Ivoire,Sub-Saharan Africa,C?te d'Ivoire,22920779597.555,C?te d'Ivoire,384.0,20131.707,C?te d'Ivoire,         C?te d'Ivoire,384.0,50.97
Croatia,Europe & Central Asia,Croatia,58873839434.9834,Croatia,191.0,4316.425,Croatia,         Croatia,191.0,77.05
Cuba,Latin America & Caribbean,Cuba,64328220000,Cuba,192.0,11308.133,Cuba,         Cuba,192.0,79.16
Cura?ao,Latin America & Caribbean,Cura?ao,..,Cura?ao,531.0,147.605,Cura?ao,         Cura?ao,531.0,77.77
Cyprus,Europe & Central Asia,Cyprus,23132450331.1258,Cyprus,196.0,1103.685,Cyprus,         Cyprus,196.0,79.9
Czech Republic,Europe & Central Asia,Czech Republic,198475392670.157,Czech Republic,203.0,10506.617,Czech Republic,         Czech Republic,203.0,78.35
Denmark,Europe & Central Asia,Denmark,313365836298.932,Denmark,208.0,5550.959,Denmark,         Denmark,208.0,79.99
Djibouti,Middle East & North Africa,Djibouti,..,Djibouti,262.0,830.802,Djibouti,         Djibouti,262.0,61.61
Dominica,Latin America & Caribbean,Dominica,471851098.51852,Dominica,212.0,71.167,,,,
Dominican Republic,Latin America & Caribbean,Dominican Republic,51748279416.0089,Dominican Republic,214.0,9897.983,Dominican Republic,         Dominican Republic,214.0,73.19
Ecuador,Latin America & Caribbean,Ecuador,67513698000,Ecuador,218.0,14934.692,Ecuador,         Ecuador,218.0,75.54
El Salvador,Latin America & Caribbean,El Salvador,21418300000,El Salvador,222.0,6038.306,El Salvador,         El Salvador,222.0,72.64
Equatorial Guinea,Sub-Saharan Africa,Equatorial Guinea,12261420852.3549,Equatorial Guinea,226.0,728.71,Equatorial Guinea,         Equatorial Guinea,226.0,57.13
Eritrea,Sub-Saharan Africa,Eritrea,2117039510.70194,Eritrea,232.0,4689.664,Eritrea,         Eritrea,232.0,63.07
Estonia,Europe & Central Asia,Estonia,18909381436.8421,Estonia,233.0,1332.089,Estonia,         Estonia,233.0,76.52
Ethiopia,Sub-Saharan Africa,Ethiopia,26311310604.9888,Ethiopia,231.0,87561.814,Ethiopia,         Ethiopia,231.0,63.13
Faeroe Islands,Europe & Central Asia,Faeroe Islands,..,Faeroe Islands,234.0,48.567,,,,
Fiji,East Asia & Pacific,Fiji,3225095136.31862,Fiji,242.0,859.952,Fiji,         Fiji,242.0,69.72
Finland,Europe & Central Asia,Finland,235163157894.737,Finland,246.0,5367.693,Finland,         Finland,246.0,80.53
France,Europe & Central Asia,France,2548315434210.53,France,250.0,62961.136,France,         France,250.0,81.85
French Polynesia,East Asia & Pacific,French Polynesia,..,French Polynesia,258.0,268.065,French Polynesia,         French Polynesia,258.0,76.12
Gabon,Sub-Saharan Africa,Gabon,14507032805.9824,Gabon,266.0,1541.936,Gabon,         Gabon,266.0,63.65
Georgia,Europe & Central Asia,Georgia,11638236642.8476,Georgia,268.0,4250.132,Georgia,         Georgia,268.0,74.64
Germany,Europe & Central Asia,Germany,3282894736842.11,Germany,276.0,80435.307,Germany,         Germany,276.0,80.66
Ghana,Sub-Saharan Africa,Ghana,32174210792.9631,Ghana,288.0,24317.734,Ghana,         Ghana,288.0,61.03
Greece,Europe & Central Asia,Greece,292304602598.684,Greece,300.0,11177.509,Greece,         Greece,300.0,80.6
Greenland,Europe & Central Asia,Greenland,..,Greenland,304.0,56.546,,,,
Grenada,Latin America & Caribbean,Grenada,783602099.12405,Grenada,308.0,104.677,Grenada,         Grenada,308.0,73.17
Guam,East Asia & Pacific,Guam,..,Guam,316.0,159.44,Guam,         Guam,316.0,78.72
Guatemala,Latin America & Caribbean,Guatemala,41338161799.1082,Guatemala,320.0,14732.261,Guatemala,         Guatemala,320.0,71.47
Guinea,Sub-Saharan Africa,Guinea,4735956475.83803,Guinea,324.0,11012.406,Guinea,         Guinea,324.0,58.04
Guinea-Bissau,Sub-Saharan Africa,Guinea-Bissau,835390892.98832,Guinea-Bissau,624.0,1634.196,Guinea-Bissau,         Guinea-Bissau,624.0,54.72
Guyana,Latin America & Caribbean,Guyana,2259288026.41972,Guyana,328.0,753.362,Guyana,         Guyana,328.0,66.24
Haiti,Latin America & Caribbean,Haiti,6634579143.36112,Haiti,332.0,9999.617,Haiti,         Haiti,332.0,62.29
Honduras,Latin America & Caribbean,Honduras,15729644901.1459,Honduras,340.0,7503.875,Honduras,         Honduras,340.0,72.83
Hungary,Europe & Central Asia,Hungary,127503279792.248,Hungary,348.0,10014.633,Hungary,         Hungary,348.0,74.98
Iceland,Europe & Central Asia,Iceland,12564891657.7225,Iceland,352.0,318.042,Iceland,         Iceland,352.0,82.3
India,South Asia,India,1710908768959.8,India,356.0,1230984.504,India,            India,356.0,67.47
Indonesia,East Asia & Pacific,Indonesia,709190822690.739,Indonesia,360.0,241613.126,Indonesia,         Indonesia,360.0,68.59
Iraq,Middle East & North Africa,Iraq,135488471367.521,Iraq,368.0,30868.156,Iraq,         Iraq,368.0,69.19
Ireland,Europe & Central Asia,Ireland,208022028243.421,Ireland,372.0,4617.334,Ireland,         Ireland,372.0,80.57
Isle of Man,Europe & Central Asia,Isle of Man,..,Isle of Man,833.0,84.327,,,,
Israel,Middle East & North Africa,Israel,231674511901.578,Israel,376.0,7420.368,Israel,         Israel,376.0,82.07
Italy,Europe & Central Asia,Italy,2041954747600,Italy,380.0,59588.007,Italy,         Italy,380.0,82.84
Jamaica,Latin America & Caribbean,Jamaica,13202998397.8027,Jamaica,388.0,2741.253,Jamaica,         Jamaica,388.0,75.44
Japan,East Asia & Pacific,Japan,5495379357484.62,Japan,392.0,127319.802,Japan,         Japan,392.0,83.31
Jordan,Middle East & North Africa,Jordan,26425379366.6132,Jordan,400.0,6517.912,Jordan,         Jordan,400.0,73.79
Kazakhstan,Europe & Central Asia,Kazakhstan,148052371903.631,Kazakhstan,398.0,16310.624,Kazakhstan,            Kazakhstan,398.0,69.07
Kenya,Sub-Saharan Africa,Kenya,32198151217.2214,Kenya,404.0,40328.313,Kenya,         Kenya,404.0,60.62
Kiribati,East Asia & Pacific,Kiribati,150431113.55715,Kiribati,296.0,102.648,Kiribati,         Kiribati,296.0,65.74
Kuwait,Middle East & North Africa,Kuwait,119934674734.616,Kuwait,414.0,3059.473,Kuwait,         Kuwait,414.0,74.28
Latvia,Europe & Central Asia,Latvia,24009680459.9868,Latvia,428.0,2090.519,Latvia,         Latvia,428.0,73.95
Lebanon,Middle East & North Africa,Lebanon,37124378109.4527,Lebanon,422.0,4337.156,Lebanon,         Lebanon,422.0,78.86
Lesotho,Sub-Saharan Africa,Lesotho,2203835214.2935,Lesotho,426.0,2010.586,Lesotho,         Lesotho,426.0,49.5
Liberia,Sub-Saharan Africa,Liberia,1292696475.95873,Liberia,430.0,3957.99,Liberia,         Liberia,430.0,60.25
Libya,Middle East & North Africa,Libya,..,Libya,434.0,6265.697,Libya,         Libya,434.0,71.47
Liechtenstein,Europe & Central Asia,Liechtenstein,..,Liechtenstein,438.0,36.276,,,,
Lithuania,Europe & Central Asia,Lithuania,36306384146.1075,Lithuania,440.0,3122.835,Lithuania,         Lithuania,440.0,73.07
Luxembourg,Europe & Central Asia,Luxembourg,51713947368.4211,Luxembourg,442.0,507.889,Luxembourg,         Luxembourg,442.0,81.34
Madagascar,Sub-Saharan Africa,Madagascar,8837041787.49382,Madagascar,450.0,21079.532,Madagascar,         Madagascar,450.0,64.5
Malawi,Sub-Saharan Africa,Malawi,5398616984.59149,Malawi,454.0,14769.824,Malawi,         Malawi,454.0,60.97
Malaysia,East Asia & Pacific,Malaysia,247533525517.698,Malaysia,458.0,28119.5,Malaysia,         Malaysia,458.0,74.5
Maldives,South Asia,Maldives,2134104883.7014,Maldives,462.0,332.575,Maldives,            Maldives,462.0,76.36
Mali,Sub-Saharan Africa,Mali,9422267259.9894,Mali,466.0,15167.286,Mali,         Mali,466.0,57.23
Malta,Middle East & North Africa,Malta,8163841059.60265,Malta,470.0,412.064,Malta,         Malta,470.0,80.3
Marshall Islands,East Asia & Pacific,Marshall Islands,163200000,Marshall Islands,584.0,52.428,,,,
Mauritania,Sub-Saharan Africa,Mauritania,3671380305.41277,Mauritania,478.0,3591.4,Mauritania,         Mauritania,478.0,62.77
Mauritius,Sub-Saharan Africa,Mauritius,9718331362.63822,Mauritius,480.0,1247.951,Mauritius,         Mauritius,480.0,74.15
Mexico,Latin America & Caribbean,Mexico,1047368841686.06,Mexico,484.0,118617.542,Mexico,         Mexico,484.0,76.48
Monaco,Europe & Central Asia,Monaco,5350993377.48344,Monaco,492.0,36.845,,,,
Mongolia,East Asia & Pacific,Mongolia,6200357070.114801,Mongolia,496.0,2712.657,Mongolia,         Mongolia,496.0,68.89
Montenegro,Europe & Central Asia,Montenegro,4114780573.5,Montenegro,499.0,621.952,Montenegro,         Montenegro,499.0,76.02
Morocco,Middle East & North Africa,Morocco,90770671431.6696,Morocco,504.0,32107.739,Morocco,         Morocco,504.0,73.61
