Economy,Region,Country,GDP_2010,country,Country code,Pop_2010,Location_trimmed,Location,numeric code,LE_2010
Afghanistan,South Asia,Afghanistan,15936784436,Afghanistan,4,27962.207,Afghanistan, Afghanistan,4,59.82
Albania,Europe & Central Asia,Albania,11858166295,Albania,8,2901.883,Albania,         Albania,8,77.49
Algeria,Middle East & North Africa,Algeria,1.61207E+11,Algeria,12,36036.159,Algeria,         Algeria,12,74.42
American Samoa,East Asia & Pacific,American Samoa,,American Samoa,16,55.636,,,,
Andorra,Europe & Central Asia,Andorra,,Andorra,20,84.419,,,,
Angola,Sub-Saharan Africa,Angola,82470894868,Angola,24,21219.954,Angola,         Angola,24,51.68
Antigua and Barbuda,Latin America & Caribbean,Antigua and Barbuda,1161528616,Antigua and Barbuda,28,87.233,Antigua and Barbuda,         Antigua and Barbuda,28,75.82
Argentina,Latin America & Caribbean,Argentina,3.68736E+11,Argentina,32,41222.875,Argentina,         Argentina,32,76.01
Armenia,Europe & Central Asia,Armenia,9260297329,Armenia,51,2963.496,Armenia,         Armenia,51,74.56
Aruba,Latin America & Caribbean,Aruba,2467703911,Aruba,533,101.597,Aruba,         Aruba,533,75.39
Australia,East Asia & Pacific,Australia,1.14179E+12,Australia,36,22162.863,Australia,         Australia,36,82.1
Austria,Europe & Central Asia,Austria,3.75217E+11,Austria,40,8391.986,Austria,         Austria,40,81.09
Azerbaijan,Europe & Central Asia,Azerbaijan,52905998879,Azerbaijan,31,9099.893,Azerbaijan,         Azerbaijan,31,70.62
"Bahamas, The",Latin America & Caribbean,Bahamas,7888087000,Bahamas,44,360.83,Bahamas,         Bahamas,44,75.15
Bahrain,Middle East & North Africa,Bahrain,25713571421,Bahrain,48,1261.319,Bahrain,         Bahrain,48,76.38
Bangladesh,South Asia,Bangladesh,1.00357E+11,Bangladesh,50,151616.777,Bangladesh,            Bangladesh,50,71.01
Barbados,Latin America & Caribbean,Barbados,4433700000,Barbados,52,279.566,Barbados,         Barbados,52,75.37
Belarus,Europe & Central Asia,Belarus,55220932614,Belarus,112,9492.122,Belarus,         Belarus,112,71.08
Belgium,Europe & Central Asia,Belgium,4.68079E+11,Belgium,56,10929.978,Belgium,         Belgium,56,80.53
Belize,Latin America & Caribbean,Belize,1397900000,Belize,84,321.609,Belize,         Belize,84,69.76
Benin,Sub-Saharan Africa,Benin,6558416322,Benin,204,9509.798,Benin,         Benin,204,59.2
Bermuda,North America,Bermuda,5744414000,Bermuda,60,63.954,,,,
Bhutan,South Asia,Bhutan,1585319109,Bhutan,64,720.246,Bhutan,            Bhutan,64,68.88
Bolivia,Latin America & Caribbean,Bolivia (Plurinational State of),19649724656,Bolivia (Plurinational State of),68,9918.245,Bolivia (Plurinational State of),         Bolivia (Plurinational State of),68,67.72
Bosnia and Herzegovina,Europe & Central Asia,Bosnia and Herzegovina,16775469778,Bosnia and Herzegovina,70,3835.258,Bosnia and Herzegovina,         Bosnia and Herzegovina,70,76.26
Botswana,Sub-Saharan Africa,Botswana,13746712706,Botswana,72,2047.831,Botswana,         Botswana,72,64.12
Brazil,Latin America & Caribbean,Brazil,2.14304E+12,Brazil,76,198614.208,Brazil,         Brazil,76,74.05
Brunei Darussalam,East Asia & Pacific,Brunei Darussalam,12369708859,Brunei Darussalam,96,393.302,Brunei Darussalam,         Brunei Darussalam,96,78.44
Bulgaria,Europe & Central Asia,Bulgaria,47727325909,Bulgaria,100,7407.297,Bulgaria,         Bulgaria,100,74.04
Burkina Faso,Sub-Saharan Africa,Burkina Faso,9209288383,Burkina Faso,854,15632.066,Burkina Faso,         Burkina Faso,854,58.07
Burundi,Sub-Saharan Africa,Burundi,2026864414,Burundi,108,9461.117,Burundi,         Burundi,108,56.07
C?te d'Ivoire,Sub-Saharan Africa,C?te d'Ivoire,22920779598,C?te d'Ivoire,384,20131.707,C?te d'Ivoire,         C?te d'Ivoire,384,50.97
Cabo Verde,Sub-Saharan Africa,Cabo Verde,1664310632,Cabo Verde,132,490.379,Cabo Verde,         Cabo Verde,132,72.97
Cambodia,East Asia & Pacific,Cambodia,11242266334,Cambodia,116,14363.586,Cambodia,         Cambodia,116,67.61
Cameroon,Sub-Saharan Africa,Cameroon,22493301699,Cameroon,120,20590.666,Cameroon,         Cameroon,120,54.87
Canada,North America,Canada,1.57704E+12,Canada,124,34126.173,Canada,      Canada,124,81.78
Cayman Islands,Latin America & Caribbean,Cayman Islands,,Cayman Islands,136,55.509,,,,
Central African Republic,Sub-Saharan Africa,Central African Republic,1986014759,Central African Republic,140,4444.973,Central African Republic,         Central African Republic,140,49.53
Chad,Sub-Saharan Africa,Chad,10657705072,Chad,148,11896.38,Chad,         Chad,148,51.13
Channel Islands,Europe & Central Asia,Channel Islands,,Channel Islands,830,159.583,Channel Islands,         Channel Islands,830,80.45
Chile,Latin America & Caribbean,Chile,2.17556E+11,Chile,152,17015.048,Chile,         Chile,152,81.21
China,East Asia & Pacific,China,5.93053E+12,China,156,1340968.737,China,         China,156,75.43
Colombia,Latin America & Caribbean,Colombia,2.87001E+11,Colombia,170,45918.101,Colombia,         Colombia,170,73.75
Comoros,Sub-Saharan Africa,Comoros,543376206.1,Comoros,174,698.695,Comoros,         Comoros,174,62.83
"Congo, Dem. Rep.",Sub-Saharan Africa,Democratic Republic of the Congo,13138775753,Democratic Republic of the Congo,180,65938.712,Democratic Republic of the Congo,         Democratic Republic of the Congo,180,58.1
"Congo, Rep.",Sub-Saharan Africa,Congo,12007880067,Congo,178,4066.078,Congo,         Congo,178,61.42
Costa Rica,Latin America & Caribbean,Costa Rica,36298327620,Costa Rica,188,4545.273,Costa Rica,         Costa Rica,188,79.16
Croatia,Europe & Central Asia,Croatia,58873839435,Croatia,191,4316.425,Croatia,         Croatia,191,77.05
Cuba,Latin America & Caribbean,Cuba,64328220000,Cuba,192,11308.133,Cuba,         Cuba,192,79.16
Cura?ao,Latin America & Caribbean,Cura?ao,,Cura?ao,531,147.605,Cura?ao,         Cura?ao,531,77.77
Cyprus,Europe & Central Asia,Cyprus,23132450331,Cyprus,196,1103.685,Cyprus,         Cyprus,196,79.9
Czech Republic,Europe & Central Asia,Czech Republic,1.98475E+11,Czech Republic,203,10506.617,Czech Republic,         Czech Republic,203,78.35
Denmark,Europe & Central Asia,Denmark,3.13366E+11,Denmark,208,5550.959,Denmark,         Denmark,208,79.99
Djibouti,Middle East & North Africa,Djibouti,,Djibouti,262,830.802,Djibouti,         Djibouti,262,61.61
Dominica,Latin America & Caribbean,Dominica,471851098.5,Dominica,212,71.167,,,,
Dominican Republic,Latin America & Caribbean,Dominican Republic,51748279416,Dominican Republic,214,9897.983,Dominican Republic,         Dominican Republic,214,73.19
Ecuador,Latin America & Caribbean,Ecuador,67513698000,Ecuador,218,14934.692,Ecuador,         Ecuador,218,75.54
"Egypt, Arab Rep.",Middle East & North Africa,Egypt,2.18888E+11,Egypt,818,82040.994,Egypt,         Egypt,818,70.84
El Salvador,Latin America & Caribbean,El Salvador,21418300000,El Salvador,222,6038.306,El Salvador,         El Salvador,222,72.64
Equatorial Guinea,Sub-Saharan Africa,Equatorial Guinea,12261420852,Equatorial Guinea,226,728.71,Equatorial Guinea,         Equatorial Guinea,226,57.13
Eritrea,Sub-Saharan Africa,Eritrea,2117039511,Eritrea,232,4689.664,Eritrea,         Eritrea,232,63.07
Estonia,Europe & Central Asia,Estonia,18909381437,Estonia,233,1332.089,Estonia,         Estonia,233,76.52
Ethiopia,Sub-Saharan Africa,Ethiopia,26311310605,Ethiopia,231,87561.814,Ethiopia,         Ethiopia,231,63.13
Faeroe Islands,Europe & Central Asia,Faeroe Islands,,Faeroe Islands,234,48.567,,,,
Fiji,East Asia & Pacific,Fiji,3225095136,Fiji,242,859.952,Fiji,         Fiji,242,69.72
Finland,Europe & Central Asia,Finland,2.35163E+11,Finland,246,5367.693,Finland,         Finland,246,80.53
France,Europe & Central Asia,France,2.54832E+12,France,250,62961.136,France,         France,250,81.85
French Polynesia,East Asia & Pacific,French Polynesia,,French Polynesia,258,268.065,French Polynesia,         French Polynesia,258,76.12
Gabon,Sub-Saharan Africa,Gabon,14507032806,Gabon,266,1541.936,Gabon,         Gabon,266,63.65
"Gambia, The",Sub-Saharan Africa,Gambia,951805801.4,Gambia,270,1693.002,Gambia,         Gambia,270,59.83
Georgia,Europe & Central Asia,Georgia,11638236643,Georgia,268,4250.132,Georgia,         Georgia,268,74.64
Germany,Europe & Central Asia,Germany,3.28289E+12,Germany,276,80435.307,Germany,         Germany,276,80.66
Ghana,Sub-Saharan Africa,Ghana,32174210793,Ghana,288,24317.734,Ghana,         Ghana,288,61.03
Greece,Europe & Central Asia,Greece,2.92305E+11,Greece,300,11177.509,Greece,         Greece,300,80.6
Greenland,Europe & Central Asia,Greenland,,Greenland,304,56.546,,,,
Grenada,Latin America & Caribbean,Grenada,783602099.1,Grenada,308,104.677,Grenada,         Grenada,308,73.17
Guam,East Asia & Pacific,Guam,,Guam,316,159.44,Guam,         Guam,316,78.72
Guatemala,Latin America & Caribbean,Guatemala,41338161799,Guatemala,320,14732.261,Guatemala,         Guatemala,320,71.47
Guinea,Sub-Saharan Africa,Guinea,4735956476,Guinea,324,11012.406,Guinea,         Guinea,324,58.04
Guinea-Bissau,Sub-Saharan Africa,Guinea-Bissau,835390893,Guinea-Bissau,624,1634.196,Guinea-Bissau,         Guinea-Bissau,624,54.72
Guyana,Latin America & Caribbean,Guyana,2259288026,Guyana,328,753.362,Guyana,         Guyana,328,66.24
Haiti,Latin America & Caribbean,Haiti,6634579143,Haiti,332,9999.617,Haiti,         Haiti,332,62.29
Honduras,Latin America & Caribbean,Honduras,15729644901,Honduras,340,7503.875,Honduras,         Honduras,340,72.83
"Hong Kong SAR, China",East Asia & Pacific,"China, Hong Kong Special Administrative Region",2.28696E+11,"China, Hong Kong SAR",344,6993.57,"China, Hong Kong SAR","         China, Hong Kong SAR",344,83.74
Hungary,Europe & Central Asia,Hungary,1.27503E+11,Hungary,348,10014.633,Hungary,         Hungary,348,74.98
Iceland,Europe & Central Asia,Iceland,12564891658,Iceland,352,318.042,Iceland,         Iceland,352,82.3
India,South Asia,India,1.71091E+12,India,356,1230984.504,India,            India,356,67.47
Indonesia,East Asia & Pacific,Indonesia,7.09191E+11,Indonesia,360,241613.126,Indonesia,         Indonesia,360,68.59
"Iran, Islamic Rep.",Middle East & North Africa,Iran (Islamic Republic of),4.22568E+11,Iran (Islamic Republic of),364,74253.373,Iran (Islamic Republic of),            Iran (Islamic Republic of),364,75.06
Iraq,Middle East & North Africa,Iraq,1.35488E+11,Iraq,368,30868.156,Iraq,         Iraq,368,69.19
Ireland,Europe & Central Asia,Ireland,2.08022E+11,Ireland,372,4617.334,Ireland,         Ireland,372,80.57
Isle of Man,Europe & Central Asia,Isle of Man,,Isle of Man,833,84.327,,,,
Israel,Middle East & North Africa,Israel,2.31675E+11,Israel,376,7420.368,Israel,         Israel,376,82.07
Italy,Europe & Central Asia,Italy,2.04195E+12,Italy,380,59588.007,Italy,         Italy,380,82.84
Jamaica,Latin America & Caribbean,Jamaica,13202998398,Jamaica,388,2741.253,Jamaica,         Jamaica,388,75.44
Japan,East Asia & Pacific,Japan,5.49538E+12,Japan,392,127319.802,Japan,         Japan,392,83.31
Jordan,Middle East & North Africa,Jordan,26425379367,Jordan,400,6517.912,Jordan,         Jordan,400,73.79
Kazakhstan,Europe & Central Asia,Kazakhstan,1.48052E+11,Kazakhstan,398,16310.624,Kazakhstan,            Kazakhstan,398,69.07
Kenya,Sub-Saharan Africa,Kenya,32198151217,Kenya,404,40328.313,Kenya,         Kenya,404,60.62
Kiribati,East Asia & Pacific,Kiribati,150431113.6,Kiribati,296,102.648,Kiribati,         Kiribati,296,65.74
"Korea, Dem. Rep.",East Asia & Pacific,Democratic People's Republic of Korea,,Dem. People's Republic of Korea,408,24500.506,Dem. People's Republic of Korea,         Dem. People's Republic of Korea,408,69.91
"Korea, Rep.",East Asia & Pacific,Republic of Korea,1.01489E+12,Republic of Korea,410,49090.041,Republic of Korea,         Republic of Korea,410,81.43
Kuwait,Middle East & North Africa,Kuwait,1.19935E+11,Kuwait,414,3059.473,Kuwait,         Kuwait,414,74.28
Kyrgyz Republic,Europe & Central Asia,Kyrgyzstan,4794361821,Kyrgyzstan,417,5464.567,Kyrgyzstan,            Kyrgyzstan,417,70.26
Lao PDR,East Asia & Pacific,Lao People's Democratic Republic,7181441152,Lao People's Democratic Republic,418,6260.544,Lao People's Democratic Republic,         Lao People's Democratic Republic,418,65.51
Latvia,Europe & Central Asia,Latvia,24009680460,Latvia,428,2090.519,Latvia,         Latvia,428,73.95
Lebanon,Middle East & North Africa,Lebanon,37124378109,Lebanon,422,4337.156,Lebanon,         Lebanon,422,78.86
Lesotho,Sub-Saharan Africa,Lesotho,2203835214,Lesotho,426,2010.586,Lesotho,         Lesotho,426,49.5
Liberia,Sub-Saharan Africa,Liberia,1292696476,Liberia,430,3957.99,Liberia,         Liberia,430,60.25
Libya,Middle East & North Africa,Libya,,Libya,434,6265.697,Libya,         Libya,434,71.47
Liechtenstein,Europe & Central Asia,Liechtenstein,,Liechtenstein,438,36.276,,,,
Lithuania,Europe & Central Asia,Lithuania,36306384146,Lithuania,440,3122.835,Lithuania,         Lithuania,440,73.07
Luxembourg,Europe & Central Asia,Luxembourg,51713947368,Luxembourg,442,507.889,Luxembourg,         Luxembourg,442,81.34
"Macao SAR, China",East Asia & Pacific,"China, Macao Special Administrative Region",28359706123,"China, Macao SAR",446,534.626,"China, Macao SAR","         China, Macao SAR",446,80.3
"Macedonia, FYR",Europe & Central Asia,The former Yugoslav Republic of Macedonia,9338665631,TFYR Macedonia,807,2062.443,TFYR Macedonia,         TFYR Macedonia,807,75.16
Madagascar,Sub-Saharan Africa,Madagascar,8837041787,Madagascar,450,21079.532,Madagascar,         Madagascar,450,64.5
Malawi,Sub-Saharan Africa,Malawi,5398616985,Malawi,454,14769.824,Malawi,         Malawi,454,60.97
Malaysia,East Asia & Pacific,Malaysia,2.47534E+11,Malaysia,458,28119.5,Malaysia,         Malaysia,458,74.5
Maldives,South Asia,Maldives,2134104884,Maldives,462,332.575,Maldives,            Maldives,462,76.36
Mali,Sub-Saharan Africa,Mali,9422267260,Mali,466,15167.286,Mali,         Mali,466,57.23
Malta,Middle East & North Africa,Malta,8163841060,Malta,470,412.064,Malta,         Malta,470,80.3
Marshall Islands,East Asia & Pacific,Marshall Islands,163200000,Marshall Islands,584,52.428,,,,
Mauritania,Sub-Saharan Africa,Mauritania,3671380305,Mauritania,478,3591.4,Mauritania,         Mauritania,478,62.77
Mauritius,Sub-Saharan Africa,Mauritius,9718331363,Mauritius,480,1247.951,Mauritius,         Mauritius,480,74.15
Mexico,Latin America & Caribbean,Mexico,1.04737E+12,Mexico,484,118617.542,Mexico,         Mexico,484,76.48
"Micronesia, Fed. Sts.",East Asia & Pacific,Micronesia (Federated States of),294117230.5,Micronesia (Fed. States of),583,103.619,Micronesia (Fed. States of),         Micronesia (Fed. States of),583,68.93
Moldova,Europe & Central Asia,Republic of Moldova,5811622394,Republic of Moldova,498,4084.483,Republic of Moldova,         Republic of Moldova,498,71.33
Monaco,Europe & Central Asia,Monaco,5350993377,Monaco,492,36.845,,,,
Mongolia,East Asia & Pacific,Mongolia,6200357070,Mongolia,496,2712.657,Mongolia,         Mongolia,496,68.89
Montenegro,Europe & Central Asia,Montenegro,4114780574,Montenegro,499,621.952,Montenegro,         Montenegro,499,76.02
Morocco,Middle East & North Africa,Morocco,90770671432,Morocco,504,32107.739,Morocco,         Morocco,504,73.61
Mozambique,Sub-Saharan Africa,Mozambique,9274448732,Mozambique,508,24321.457,Mozambique,         Mozambique,508,54.63
Myanmar,East Asia & Pacific,Myanmar,,Myanmar,104,51733.013,Myanmar,         Myanmar,104,65.64
Namibia,Sub-Saharan Africa,Namibia,11065912279,Namibia,516,2193.643,Namibia,         Namibia,516,64.34
Nepal,South Asia,Nepal,16010389262,Nepal,524,26875.91,Nepal,            Nepal,524,69.03
Netherlands,Europe & Central Asia,Netherlands,7.72091E+11,Netherlands,528,16631.571,Netherlands,         Netherlands,528,81.31
New Caledonia,East Asia & Pacific,New Caledonia,,New Caledonia,540,246.345,New Caledonia,         New Caledonia,540,76.19
New Zealand,East Asia & Pacific,New Zealand,1.43247E+11,New Zealand,554,4369.027,New Zealand,         New Zealand,554,81.56
Nicaragua,Latin America & Caribbean,Nicaragua,8586295846,Nicaragua,558,5737.722,Nicaragua,         Nicaragua,558,74.47
Niger,Sub-Saharan Africa,Niger,5718589550,Niger,562,16291.99,Niger,         Niger,562,60.65
Nigeria,Sub-Saharan Africa,Nigeria,2.29508E+11,Nigeria,566,159424.742,Nigeria,         Nigeria,566,52.29
Northern Mariana Islands,East Asia & Pacific,Northern Mariana Islands,,Northern Mariana Islands,580,53.86,,,,
Norway,Europe & Central Asia,Norway,4.21236E+11,Norway,578,4891.251,Norway,         Norway,578,81.32
Oman,Middle East & North Africa,Oman,58813004375,Oman,512,2943.747,Oman,         Oman,512,76.33
Pakistan,South Asia,Pakistan,1.77407E+11,Pakistan,586,170043.918,Pakistan,            Pakistan,586,65.88
Palau,East Asia & Pacific,Palau,196543326.1,Palau,585,20.47,,,,
Panama,Latin America & Caribbean,Panama,26589600000,Panama,591,3620.506,Panama,         Panama,591,77.32
Papua New Guinea,East Asia & Pacific,Papua New Guinea,9480047959,Papua New Guinea,598,6847.517,Papua New Guinea,         Papua New Guinea,598,62.31
Paraguay,Latin America & Caribbean,Paraguay,20028375554,Paraguay,600,6209.877,Paraguay,         Paraguay,600,72.74
Peru,Latin America & Caribbean,Peru,1.5761E+11,Peru,604,29373.644,Peru,         Peru,604,74.15
Philippines,East Asia & Pacific,Philippines,1.99589E+11,Philippines,608,93038.902,Philippines,         Philippines,608,67.99
Poland,Europe & Central Asia,Poland,4.69737E+11,Poland,616,38574.682,Poland,         Poland,616,77.14
Portugal,Europe & Central Asia,Portugal,2.27447E+11,Portugal,620,10584.837,Portugal,         Portugal,620,80.55
Puerto Rico,Latin America & Caribbean,Puerto Rico,97147300000,Puerto Rico,630,3709.671,Puerto Rico,         Puerto Rico,630,79.22
Qatar,Middle East & North Africa,Qatar,1.25122E+11,Qatar,634,1765.513,Qatar,         Qatar,634,77.89
Romania,Europe & Central Asia,Romania,1.64436E+11,Romania,642,20298.838,Romania,         Romania,642,74.46
Russian Federation,Europe & Central Asia,Russian Federation,1.52492E+12,Russian Federation,643,143158.099,Russian Federation,         Russian Federation,643,69.83
Rwanda,Sub-Saharan Africa,Rwanda,5624506157,Rwanda,646,10293.669,Rwanda,         Rwanda,646,63.14
Samoa,East Asia & Pacific,Samoa,572160378.3,Samoa,882,186.029,Samoa,         Samoa,882,73.02
San Marino,Europe & Central Asia,San Marino,,San Marino,674,30.69,,,,
Sao Tome and Principe,Sub-Saharan Africa,Sao Tome and Principe,201037916.6,Sao Tome and Principe,678,170.88,Sao Tome and Principe,         Sao Tome and Principe,678,66.23
Saudi Arabia,Middle East & North Africa,Saudi Arabia,5.26811E+11,Saudi Arabia,682,28090.647,Saudi Arabia,         Saudi Arabia,682,74.08
Senegal,Sub-Saharan Africa,Senegal,12932427724,Senegal,686,12956.791,Senegal,         Senegal,686,65.81
Serbia,Europe & Central Asia,Serbia,36990001284,Serbia,688,9059.046,Serbia,         Serbia,688,74.65
Seychelles,Sub-Saharan Africa,Seychelles,969973774.8,Seychelles,690,93.081,Seychelles,         Seychelles,690,72.94
Sierra Leone,Sub-Saharan Africa,Sierra Leone,2575466372,Sierra Leone,694,5775.902,Sierra Leone,         Sierra Leone,694,50.19
Singapore,East Asia & Pacific,Singapore,2.172E+11,Singapore,702,5078.961,Singapore,         Singapore,702,82.64
Sint Maarten (Dutch part),Latin America & Caribbean,Sint Maarten (Dutch part),,Sint Maarten (Dutch part),534,33.125,,,,
Slovak Republic,Europe & Central Asia,Slovakia,87077443709,Slovakia,703,5406.896,Slovakia,         Slovakia,703,76.04
Slovenia,Europe & Central Asia,Slovenia,46908328071,Slovenia,705,2052.48,Slovenia,         Slovenia,705,80.08
Solomon Islands,East Asia & Pacific,Solomon Islands,678625481.7,Solomon Islands,90,526.177,Solomon Islands,         Solomon Islands,90,67.53
Somalia,Sub-Saharan Africa,Somalia,,Somalia,706,9581.714,Somalia,         Somalia,706,54.88
